output_id,example_id,language,vuln_type,tool,model,model_version,run,clarity_score,clarity_why,severity_justification_score,severity_justification_why,specificity_score,specificity_why,actionability_score,actionability_why,completeness_score,completeness_why,written_feedback,scored_at
OUT005,EX002,java,sqli,semgrep,claude,claude-opus-5,1,4,"The message reads plainly (""Detected a formatted string in a SQL statement... Use a prepared statements (java.sql.PreparedStatement) instead""), though the grammar slip and the claim of a ""formatted string"" when line 94 shows a passed-in `query` variable cause a moment of confusion.",3,"It labels ""Severity: WARNING"" and gives only a generic, conditional rationale — ""This could lead to SQL injection if variables in the SQL statement are not properly sanitized"" — without tying the risk to this helper method or its callers.",4,"It pinpoints ""Location: line 94, column 25"", i.e. the `statement.executeQuery(query)` call, with a column offset narrowing it within the line, but never names the offending expression in prose.",4,"It prescribes a concrete change — ""Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'"" — naming the API and how to get it, but with no adaptation to this method's `String query` parameter or example code.",5,"All five parts appear: severity (""WARNING""), description (""Detected a formatted string in a SQL statement""), location (""line 94, column 25""), why it matters (""could lead to SQL injection if variables ... not properly sanitized""), and remediation plus an OWASP link.","The warning is compact and mostly easy to read: it names the rule, gives a precise location, states the risk, and recommends a specific replacement API. The main clarity wrinkle is the phrase ""a formatted string in a SQL statement"" — at line 94 the code simply executes a `String query` parameter received from callers (`getMaxSalary`, `getSumSalariesOfOtherEmployees`, etc.), so a reader has to translate the rule's boilerplate into what is actually happening here, and ""Use a prepared statements"" is grammatically off.

Specificity is good: line 94, column 25 lands on the `executeQuery(query)` call, so a developer knows exactly where to look, though the output never says in words which expression is tainted or that the risk comes from the untrusted query string flowing in from a caller.

On severity, the only justification is the generic conditional ""could lead to SQL injection if variables ... are not properly sanitized."" There is no reasoning about this particular method being a shared sink for several query builders, and no statement of impact (data disclosure, tampering) if it were exploited, so it stays at the level of a template explanation.

Remediation is usable but partial: switching to `PreparedStatement` via `connection.prepareStatement` is the right direction, and mentioning how to obtain it helps, yet the advice does not address the practical wrinkle that `getSqlInt` accepts a whole query string, so refactoring would require pushing parameters down from the callers. A short example or note about that would have made it fully actionable. All five expected components are present, including a helpful OWASP reference.",2026-08-17T14:48:51.777439+00:00
OUT005,EX002,java,sqli,semgrep,chatgpt,gpt-5.5-2026-04-23,1,4,"The output is mostly easy to understand because it states the problem plainly in ""Detected a formatted string in a SQL statement"" and recommends ""Use a prepared statements,"" though ""formatted string"" is a little vague for this snippet.",3,"The output gives a severity label, ""Severity: WARNING,"" and a general explanation, ""This could lead to SQL injection if variables in the SQL statement are not properly sanitized,"" but it does not explain why this specific code is serious.",4,"The output identifies the exact reported line with ""Location: line 94, column 25,"" but it does not quote or name the precise expression on that line that is responsible.",4,"The output gives a concrete general fix, ""Use a prepared statements (java.sql.PreparedStatement) instead"" and says it can be obtained using ""connection.prepareStatement,"" but it does not show exactly how to rewrite this helper method.",5,"The output includes all five expected parts: ""Severity: WARNING,"" a rule/message describing SQL injection, ""Location: line 94, column 25,"" an explanation that it ""could lead to SQL injection,"" and remediation guidance to use ""PreparedStatement.""","The warning is generally clear: it says this is a SQL injection concern, points to line 94, and recommends using PreparedStatement instead of a regular Statement. The severity is present, but the justification is generic; it explains why SQL injection can be a problem in general, not why this particular call to executeQuery(query) is dangerous in the shown code. The location is fairly specific because it includes a line and column, though it would be more helpful if it explicitly named the query argument or the executeQuery call. The fix is actionable at a high level, especially with the mention of connection.prepareStatement, but it does not provide a concrete rewritten version of the method or explain how to handle the query parameter safely. Nothing major is missing, but the explanation and remediation are somewhat generic.",2026-08-17T14:49:12.154083+00:00
OUT005,EX002,java,sqli,semgrep,gemini,gemini-3.1-pro-preview,1,5,"The output is straightforward and easy to understand, clearly stating the issue and the recommended solution.",3,"The output provides a severity label of ""WARNING"" and broadly explains that the issue ""could lead to SQL injection"", but does not link this risk specifically to the provided code.",5,"The output identifies the exact location by providing ""line 94, column 25"".",2,"The output suggests a broad fix to ""Use a prepared statements"" and ""connection.prepareStatement"", which is general advice rather than specific instructions on how to modify the code snippet.",5,"The output includes all five required parts: a severity label, a description of the issue, the code location, a vulnerability explanation, and remediation guidance.","The output is very clear and includes all the necessary components of a good security warning, making it easy to read. It pinpoints the exact line and column of the issue, which is highly specific. However, it falls short in contextualizing the issue to the actual code. The severity justification broadly explains the dangers of SQL injection without referencing the snippet's parameters or structure. Furthermore, the actionability is limited; while it correctly recommends using a `PreparedStatement`, the advice is generic and does not explain how to refactor the `getSqlInt` method or handle the passed `query` string safely.",2026-08-17T14:49:24.602750+00:00
OUT014,EX007,java,xss,codeql,claude,claude-opus-5,1,4,"The message ""Cross-site scripting vulnerability due to a [user-provided value](1)"" and guidance ""Writing user input directly to a web page allows for a cross-site scripting vulnerability"" are concise and readable, though the unresolved link placeholder ""(1)"" is a minor distraction.",3,"It states ""Severity: error"" and offers only a generic reason (""Writing user input directly to a web page allows for a cross-site scripting vulnerability"") without tying the seriousness to the query-string data reaching the img src attribute.",5,"It pinpoints ""line 32, column 42"", identifying the exact line and the position of the concatenated `data` within the println call.",1,"The ""Guidance"" only restates the cause and suggests no fix such as HTML-attribute encoding or validating the value, so no concrete change is proposed.",4,"It has a severity label, a description, and a location, plus a brief vulnerability explanation (""Writing user input directly to a web page allows for...""), but lacks remediation guidance.","The warning is easy to read and lands exactly where the problem is: line 32, column 42, which is where the tainted `data` string is concatenated into the `<img src=""..."">` output. The message names the rule (java/xss) and the reason (a user-provided value flowing into the page), and the mention of a linked source would, in a full IDE view, let a developer trace the taint back to `request.getQueryString()` in `bad()`. The one blemish in readability is the raw markup placeholder ""[user-provided value](1)"", which reads awkwardly out of context.

Severity is labelled ""error"", but the justification is generic boilerplate about writing user input to a web page. It never explains what makes this instance dangerous — that the value is injected inside a quoted HTML attribute, so an attacker could break out of the quotes or use an event handler to execute script in a victim's browser, leading to session or credential theft.

The biggest gap is actionability: the ""Guidance"" field restates the cause instead of prescribing a fix. There is no mention of HTML-attribute-context encoding (e.g. an escaping utility or a templating engine that escapes by default), no advice on validating the query-string parameter, and no example. A developer would know exactly where the bug is but would have to work out the remediation themselves. Adding a concrete encoding recommendation and an instance-specific severity rationale would raise this from a locator to a usable fix instruction.",2026-08-17T14:49:40.243624+00:00
OUT014,EX007,java,xss,codeql,chatgpt,gpt-5.5-2026-04-23,1,4,"The output is mostly straightforward because it uses labeled fields like ""Severity: error"", ""Location: line 32, column 42"", and ""Message: Cross-site scripting vulnerability"", though ""[user-provided value](1)"" is a little unclear.",2,"The output gives a severity label, ""Severity: error"", but it does not explain why this issue is serious or what impact an XSS vulnerability could have.",5,"The output identifies the precise location with ""Location: line 32, column 42"", which points to the relevant line and position in the snippet.",2,"The output only gives broad guidance, ""Writing user input directly to a web page allows for a cross-site scripting vulnerability"", but does not say to HTML-attribute-encode, validate, sanitize, or otherwise show how to fix this code.",4,"The output includes a severity label, a description of the issue, a code location, and a basic explanation of why the code is vulnerable, but it lacks concrete remediation guidance.","The warning is concise and mostly easy to understand: it clearly says this is an XSS issue and gives a line and column. It is specific about the location, but the message is somewhat generic and the reference-style text ""[user-provided value](1)"" is not explained. The severity is labeled as ""error"", but there is no justification for why it is that severe or what an attacker could do with the vulnerability. The biggest weakness is actionability: it says writing user input to a page is dangerous, but it does not tell the developer what exact change to make, such as encoding the value for an HTML attribute before inserting it into the img src attribute or using a safe output API. Overall, it contains the main warning information but is missing practical fix guidance and impact explanation.",2026-08-17T14:49:54.538511+00:00
OUT014,EX007,java,xss,codeql,gemini,gemini-3.1-pro-preview,1,5,"The output is straightforward and uses plain language like ""Cross-site scripting vulnerability,"" making it entirely easy to understand.",2,"The output labels the severity as an ""error"" but provides no explanation of why XSS is serious or what could happen if exploited.",5,"The output points exactly to the source of the issue by providing both the line and the column number (""line 32, column 42"").",1,"The output provides no suggested fix; the ""Guidance"" section merely explains the cause of the vulnerability instead of how to resolve it.",4,"The output includes a severity label, a description of the issue, the exact code location, and an explanation of the vulnerability, but completely lacks remediation guidance.","The tool's output is very clear and highly specific, pinpointing the exact line and column number where the vulnerability occurs. However, it falls short in a few critical areas. While it identifies the severity as an 'error', it fails to justify this by explaining the actual risks or impact of a cross-site scripting (XSS) vulnerability. Most importantly, the output is not actionable; the section labeled 'Guidance' only explains the mechanism of the vulnerability (writing user input directly to a web page) rather than offering a concrete fix like input sanitization or output encoding. Because it is missing remediation advice and severity justification, developers might struggle to understand the urgency of the issue or how to correct it.",2026-08-17T14:50:08.650068+00:00
OUT022,EX012,java,path-traversal,bearer,claude,claude-opus-5,1,4,"The message ""Unsanitized user input in file path"" and the description/remediation bullets read cleanly, though the stray ""java"" marker before the unformatted example snippet and the fact that the example is unrelated boilerplate require a little effort to parse.",3,"It states ""Severity: high"" and explains the issue class in general terms (""Attackers can exploit this to access unauthorized files or directories, leading to data breaches""), but never ties that to this controller, the `catPicturesDirectory`, or the `path-traversal-secret.jpg` behaviour.",4,"It pins ""Location: line 101"", the exact line where the File is built, but does not call out the responsible part of the line (the `id` value from `request.getParameter(""id"")` concatenated into the file name).",3,"The remediations name a concrete technique to apply here (""use methods like FilenameUtils.getName() to safely extract only the intended file name"") plus a safelist option and a code example, but the example is a generic servlet rather than guidance rewritten for this `new File(catPicturesDirectory, ...)` call.",5,"All five parts appear: ""Severity: high"", the description of unsanitized input in file paths, ""Location: line 101"", a rationale about attackers manipulating paths, and the ""Remediations"" list.","The warning is easy to read and structurally complete: it labels severity, names the rule, gives an exact line, explains the general risk of user-controlled file paths, and offers several remediation options with a code example and a documentation link. Its weakness is that everything after the location is boilerplate. It says line 101 but not that the culprit is the `id` request parameter being interpolated into the file name, and it never engages with what is actually in front of it — that the endpoint only filters `..` and `/` from the raw query string, that backslashes or URL-encoded separators would slip past that check, and that the code itself contains a `path-traversal-secret.jpg` branch that shows exactly what an attacker would reach. That means the 'high' rating is asserted rather than argued for this code. The fix advice is usable but generic: the FilenameUtils.getName() example is an unrelated servlet, so a developer has to translate it back onto the `new File(catPicturesDirectory, ...)` call themselves, and the formatting of that example (a bare 'java' line, no code fence) is a little sloppy. Adding one sentence linking the tainted `id` parameter to the vulnerable File construction, and showing the fix applied to this line, would make it substantially stronger.",2026-08-17T14:50:30.411122+00:00
OUT022,EX012,java,path-traversal,bearer,chatgpt,gpt-5.5-2026-04-23,1,5,"The output is easy to understand because it uses direct labels such as ""Severity: high,"" ""Location: line 101,"" and ""Message: Unsanitized user input in file path,"" with mostly plain-language guidance.",3,"The output gives a severity label, ""Severity: high,"" and broadly explains that attackers can ""access unauthorized files or directories,"" but it does not tie that seriousness specifically to this endpoint or the `id` parameter.",4,"The output identifies the exact relevant line with ""Location: line 101,"" but it does not identify the precise expression or variable on that line, such as the user-controlled `id`.",3,"The output gives remediation advice such as ""use a safelist"" and ""sanitize user input"" with an example using `FilenameUtils.getName()`, but it does not show exactly how to modify this snippet's `id` handling.",5,"The output includes all five expected parts: a severity label in ""Severity: high,"" a description in ""Unsanitized user input in file path,"" a location in ""line 101,"" an explanation of the vulnerability, and remediation guidance under ""Remediations.""","The warning is clear and readable: it names the issue, gives the rule, severity, and line number, and explains the general risk of using unsanitized user input in file paths. It is fairly specific because it points to line 101, which is the file construction line, but it could be more precise by naming the `id` request parameter as the tainted value and the `new File(...)` path construction as the risky operation. The severity is labeled high and the general impact is explained, but the output does not explain how this particular endpoint could be exploited or what files might be exposed in this application. The remediation guidance is useful but generic; it suggests sanitization, safelisting, and `FilenameUtils.getName()`, but it does not provide a concrete patch for this code. Nothing major is missing, but more snippet-specific explanation and fix guidance would make it more usable.",2026-08-17T14:50:46.026572+00:00
OUT022,EX012,java,path-traversal,bearer,gemini,gemini-3.1-pro-preview,1,5,"The output is easy to understand because it uses clear headings and structured bullet points to present the ""Description"" and ""Remediations"".",3,"The output states ""Severity: high"" and provides a broad explanation that ""Attackers can exploit this to access unauthorized files or directories"", but does not relate this specifically to the provided code snippet.",4,"The output explicitly identifies the exact code line with ""Location: line 101"", but does not pinpoint the specific part of that line causing the issue.",2,"The output suggests broad fixes like ""Do sanitize user input"" and provides a generic code example rather than suggesting what to change in the actual code snippet.",5,"The output includes all five required parts: a severity label (""high""), a description (""Unsanitized user input...""), a location (""line 101""), a vulnerability explanation (""This issue arises when...""), and remediation guidance (""Remediations"").","The output is clear and easy to read, with well-organized sections for the description and remediation steps. It successfully identifies the exact line number (101) where the vulnerability occurs. However, its specificity and actionability could be improved. The severity explanation and the remediation guidance are generic, providing a broad overview of path traversal and a generalized code example using `FilenameUtils.getName()` instead of addressing the specific `id` variable or logic in the provided code snippet. While it contains all the necessary components of a good warning, tailoring the severity justification and the suggested fix to the actual context of the snippet would make it much easier for developers to act on.",2026-08-17T14:51:05.309344+00:00
OUT030,EX017,java,cmd-injection,semgrep,claude,claude-opus-5,1,5,"The message is written in plain, fluent language — ""Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command"" — and reads easily, with only the long rule ID adding minor noise.",3,"It states ""Severity: ERROR"" and gives a general reason tied to the issue class — ""This could lead to command injection if variables passed into the exec commands are not properly sanitized"" — but does not connect that to this snippet's cookie-derived `data` concatenated into `osCommand` or spell out the consequence of exploitation.",4,"It pinpoints ""Location: line 49, column 9"" which is the `Runtime.getRuntime().exec(osCommand + data)` call, but does not call out the concatenation of the tainted `data` variable as the responsible part of the line.",2,"It advises to ""avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values"" plus an OWASP link, which is generic advice rather than concrete instruction on how to change line 49 or sanitize `data`.",5,"It includes a severity label (""ERROR""), an issue description, the location (""line 49, column 9""), a why-it-is-vulnerable statement (""could lead to command injection... not properly sanitized""), and remediation guidance (avoid/whitelist + OWASP link) — all five parts, though some are thin.","The warning is easy to read and its core claim is immediately understandable: untrusted HTTPServletRequest data is flowing into an OS command execution call. Pointing to line 49, column 9 makes the location unambiguous, and anyone looking at the snippet can see that `exec(osCommand + data)` is the flagged call. It stops just short of top marks on specificity because it never names the tainted variable (`data`) or the string concatenation as the precise culprit, nor does it mention that the taint originates from `request.getCookies()` in `bad_source` — tracing that source would have made the finding much more convincing and self-contained.

The severity label is present but only justified in generic terms. ""This could lead to command injection"" is true of the whole rule class; nothing ties the ERROR rating to this specific case, where an attacker-controlled cookie is appended directly to `/bin/ls` or `cmd.exe /c dir`, allowing shell metacharacters or extra arguments to run arbitrary commands with the application's privileges. A sentence about that concrete impact would have earned a higher score.

Actionability is the weakest area. ""Avoid using these OS commands with user-supplied input, or... use a whitelist of specific values"" is boilerplate advice that could be pasted onto any command-injection finding. There is no suggestion of what a whitelist would look like here, no mention of using ProcessBuilder with an argument array instead of a concatenated shell string, and no pointer to validating `data` before use. The OWASP link is helpful background but shifts the work of designing the fix onto the developer.

All five expected components are technically present, so completeness is good, but the depth behind the severity and remediation parts is shallow relative to how precisely the location is identified.",2026-08-17T14:51:23.524158+00:00
