output_id,example_id,language,vuln_type,tool,model,model_version,run,clarity_score,clarity_why,severity_justification_score,severity_justification_why,specificity_score,specificity_why,actionability_score,actionability_why,completeness_score,completeness_why,written_feedback,scored_at
OUT001,EX001,java,sqli,bearer,claude,claude-opus-5,1,4,"The message ""Unsanitized external input in SQL query"" and the description are plainly worded and the do/don't examples are readable, though the code blocks are mangled (bare ""java"" markers, an unbalanced paren in `...""user_id"") + ""'""));`) and the text is generic boilerplate that never mentions this file's variables.",3,"It states ""Severity: critical"" and explains the general danger (""allowing attackers to manipulate queries and access or modify data""), but nothing ties that rating to this snippet's `request.getParameterMap()` → `bar` → `""{call "" + bar + ""}""` flow or its concrete impact.",4,"""Location: line 57"" pinpoints the exact executing line (`connection.prepareCall(sql)`), but it does not call out the responsible expression — the concatenation `""{call "" + bar + ""}""` on line 52 or the tainted `param` from line 47.",3,"It says ""**Do** use prepared statements for SQL queries to safely include external input"" with a generic `setInt`/`setString` example, but gives no instruction adapted to this snippet's `CallableStatement` / stored-procedure name concatenation, where binding a parameter is not a drop-in fix.",5,"All five parts are present: severity (""critical""), issue description (""Unsanitized external input in SQL query""), location (""line 57""), why it is vulnerable (""externally controlled data is directly included in SQL statements without proper sanitation""), and remediation plus references.","The output reads clearly and contains everything a developer expects structurally: a severity label, a short message, a line number, an explanation of why unsanitised input in SQL is dangerous, remediation advice and links. The main weakness is that essentially all of the explanatory content is stock rule text rather than anything derived from this code. The critical rating is asserted and then justified only in the abstract; nothing points out that the parameter `BenchmarkTest02264` flows through `doSomething` into `bar` and is concatenated into `""{call "" + bar + ""}""`, which is what actually makes this exploitable, nor what an attacker could achieve against this particular database call.

Specificity is decent but slightly misplaced: line 57 is where the query is prepared, yet the injection is introduced by the string building on line 52 and the tainted read on lines 43–47. A data-flow trace from source to sink would have made the finding much easier to confirm.

Actionability is the weakest practical point. ""Use prepared statements"" is correct in general, but here the code already uses `prepareCall`, and the untrusted value is the stored-procedure name itself, so parameter binding cannot simply be substituted in. The developer is left to work out that they need an allow-list or a fixed procedure name with bound arguments. The example snippets also have formatting problems (unfenced `java` labels, a stray closing parenthesis), which makes them look sloppy even though their intent is understandable.",2026-08-21T18:20:00.901753+00:00
OUT001,EX001,java,sqli,bearer,chatgpt,gpt-5.5-2026-04-23,1,4,"The output is mostly easy to understand because it states ""Unsanitized external input in SQL query"" and explains that this can allow attackers to ""manipulate queries and access or modify data,"" though the guidance formatting is somewhat generic and awkward.",3,"The output gives the label ""Severity: critical"" and broadly explains SQL injection risk, but it does not explain why this particular line of code warrants critical severity.",4,"The output gives a precise location with ""Location: line 57,"" but it does not quote the line or identify the specific expression or data flow causing the issue.",2,"The output gives broad remediation advice such as ""Do not include unsanitized input in SQL queries"" and ""use prepared statements,"" but it does not explain how to change this specific `prepareCall(sql)` usage or handle the dynamic stored procedure name.",5,"The output includes all expected parts: ""Severity: critical,"" a message describing the issue, ""Location: line 57,"" an explanation of SQL injection risk, and remediation guidance.","The output is generally clear: it names the issue as unsanitized external input in a SQL query and explains the general SQL injection risk in understandable terms. It is specific enough to point to line 57, but it does not show the actual line, identify `connection.prepareCall(sql)`, or trace that `sql` is built from `bar`, which comes from request-controlled input. The severity is labeled critical, but the output only gives a general explanation of SQL injection rather than explaining why this instance is critical or what an attacker could do in this code path. The remediation guidance is useful in a general sense, especially the advice to avoid concatenating input into SQL and use prepared statements, but it is not well tailored to this snippet, where the SQL string is a dynamic stored procedure call. It should explain whether to whitelist allowed procedure names, avoid constructing `{call ...}` from user input, or otherwise validate the value before calling `prepareCall`. Nothing major is missing structurally, since it includes severity, description, location, vulnerability explanation, and remediation, but the fix guidance and severity rationale are not very code-specific.",2026-08-21T18:20:14.887636+00:00
OUT001,EX001,java,sqli,bearer,gemini,gemini-3.1-pro-preview,1,5,"The output is clearly written and structured, making it easy to understand the message that there is ""Unsanitized external input in SQL query"".",3,"The output states ""Severity: critical"" and provides a broad explanation that the issue allows ""attackers to manipulate queries and access or modify data"", but does not relate this back to the provided code snippet.",4,"The output identifies the exact code line responsible by stating ""Location: line 57"".",2,"The output suggests a broad fix to ""use prepared statements for SQL queries"" and provides generic Java examples, but does not explain how to change the provided code snippet.",5,"The output includes all five required elements: a severity label (""critical""), a description (""Unsanitized external input""), a location (""line 57""), an explanation (under ""Description""), and remediation guidance.","The output is clear and easy to read, with straightforward explanations of SQL injection and good formatting. It points to the exact line of code, making it specific in its location. However, its severity justification is generic and does not explain how the vulnerability impacts this specific application. The actionability is poor because the remediation advice and code examples are completely generic; they do not explain how to fix the `CallableStatement` in the actual snippet provided. Despite this, the output is structurally complete and includes all five required elements (severity, description, location, explanation, and remediation guidance).",2026-08-21T18:20:34.502981+00:00
OUT002,EX001,java,sqli,codeql,claude,claude-opus-5,1,4,"The message ""This query depends on a [user-provided value](1)"" plus the guidance sentence is short and readable, though the unresolved reference marker ""(1)"" and the vague word ""query"" leave a small gap about which value and path are meant.",3,"It gives ""Severity: error"" and only a generic rationale (""Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user"") without tying the risk to the `prepareCall(sql)` call or the concrete consequences (data theft, DB manipulation) here.",5,"It pinpoints ""line 57, column 75"", which lands on the `sql` argument passed to `connection.prepareCall(...)`, identifying not just the line but the exact element responsible.",2,"No remediation is offered at all beyond the implicit warning that ""Building a SQL ... query from user-controlled sources is vulnerable"" — nothing about parameterised calls, bind variables, or validating `bar`.",4,"Severity (""error""), issue description (""java/sql-injection"" / ""This query depends on a user-provided value""), location (""line 57, column 75"") and a why-it's-vulnerable explanation are present, but concrete remediation guidance is missing.","The output is concise and easy to read: the rule name `java/sql-injection` immediately frames the problem, and the one-line message plus guidance sentence explain the general mechanism (untrusted input flowing into a query string). The main clarity weakness is the dangling markdown link ""[user-provided value](1)"" — in a rendered UI that would be a trace link, but as presented it hints at a data-flow source the reader cannot see, so it is not obvious that the taint originates from `request.getParameterMap()` at line 43 and flows through `param` → `doSomething` → `bar` → the concatenation on line 52.

Localisation is the strongest part: line 57 with a column offset points precisely at the `sql` argument in `connection.prepareCall(sql)`, so a developer knows exactly where the sink is. It would be even better if the sink report were paired with an explicit source location, but the column-level precision is good.

Severity is labelled ""error"", and the guidance gives a boilerplate reason why this class of bug matters, but nothing is said about this particular code — that the entire callable statement body is attacker-controlled string concatenation, which is worse than a single injected parameter, and that exploitation could mean arbitrary stored-procedure invocation or data disclosure via `printResults`. That keeps the severity justification generic.

Actionability is the weakest dimension. The output never says what to do: no mention of using parameter placeholders in the `{call proc(?)}` form and binding values with `setString`, no mention of whitelisting the procedure name if it genuinely must be dynamic, and no code example. A developer would have to look up the fix themselves. Overall four of the five expected elements are present; only remediation guidance is absent.",2026-08-21T18:20:56.156841+00:00
OUT002,EX001,java,sqli,codeql,chatgpt,gpt-5.5-2026-04-23,1,4,"The output is mostly easy to understand because it says ""This query depends on a user-provided value"" and explains that such queries are ""vulnerable to insertion of malicious code,"" though the linked ""[user-provided value](1)"" is not explained.",3,"The output gives the severity label ""Severity: error"" and a broad reason that the issue is serious, namely ""insertion of malicious code by the user,"" but it does not explain why this specific line warrants that severity.",5,"The output gives a precise location with ""Location: line 57, column 75,"" which points to the relevant call site and specific position on the line.",2,"The output gives only broad guidance that ""Building a SQL or Java Persistence query from user-controlled sources is vulnerable,"" but it does not say exactly what code to change or recommend a concrete fix such as parameterization or validation.",4,"The output includes a severity label, rule/message, location, and vulnerability explanation, but the ""Guidance"" does not provide real remediation advice on how to fix the issue.","The output is concise and generally understandable: it identifies a SQL injection rule and says the query depends on user-provided input. It is also very specific about the reported location by giving line and column information. However, the severity label ""error"" is not really justified in relation to this code; the output only gives a general statement that user-controlled SQL construction can allow malicious code insertion. The biggest weakness is actionability: it does not tell the developer what to replace, whether to use prepared statements with bind variables, whitelist procedure names, validate the input, or otherwise restructure the call. It includes most expected fields, but the remediation guidance is too vague to be very useful.",2026-08-21T18:21:10.836265+00:00
OUT002,EX001,java,sqli,codeql,gemini,gemini-3.1-pro-preview,1,5,"The output is easy to understand, clearly stating that 'Building a SQL or Java Persistence query from user-controlled sources is vulnerable'.",3,"The output provides a severity label of 'error' and broadly explains that this type of issue is 'vulnerable to insertion of malicious code by the user', but does not relate it to the specific code snippet.",5,"The output identifies the exact code line and the specific part of the line that is responsible by pointing to 'line 57, column 75'.",1,"The output suggests no fix, merely stating in the 'Guidance' section that the code is 'vulnerable to insertion of malicious code by the user'.",4,"The output includes four of the five expected parts, omitting remediation guidance but providing a severity label of 'error', issue description, location, and explanation.","The output is very clear in explaining the vulnerability, earning a 5 for clarity. However, it completely lacks actionability (score 1) because it does not suggest any fix or mitigation strategy like using parameterized queries. The severity justification is a 3; it explains the general danger ('insertion of malicious code') but does not tie it to the specific variables or context of the provided code snippet. Specificity is excellent (score 5) because it points precisely to line 57, column 75. Finally, the output receives a 4 for completeness since it includes the severity label, description, location, and explanation, but is entirely missing the remediation guidance.",2026-08-21T18:21:31.100114+00:00
OUT003,EX001,java,sqli,semgrep,claude,claude-opus-5,1,4,"The message reads plainly — ""Detected input from a HTTPServletRequest going into a SQL sink or statement"" — though terms like ""SQL sink"" and the long rule ID ""java.lang.security.audit.sqli.tainted-sql-from-http-request"" add a little friction.",3,"It labels the finding ""Severity: WARNING"" and only gives the generic risk statement ""This could lead to SQL injection if variables in the SQL statement are not properly sanitized"", with no tie to this snippet's `getParameterMap()` → `bar` → `""{call "" + bar + ""}""` flow or the consequences of exploitation.",4,"It pins the finding to ""line 57, column 13"", the `connection.prepareCall(sql)` call, but names neither the tainted `sql`/`bar` variable nor the concatenation on line 52 that actually creates the problem.",2,"The advice ""Use parameterized SQL queries or properly sanitize user input instead"" plus a link to the OWASP cheat sheet is boilerplate that would fit any SQL injection finding, with no instruction about this `CallableStatement`/`{call ...}` construction.",5,"All five parts appear: severity (""WARNING""), a description (""input from a HTTPServletRequest going into a SQL sink""), a location (""line 57, column 13""), a reason it is vulnerable (""could lead to SQL injection if variables ... are not properly sanitized""), and remediation (""Use parameterized SQL queries"" plus the cheat-sheet link).","The output is easy to read and structurally complete: it names a severity, states the problem, points at a precise line and column, gives a one-line reason, and links to a well-known remediation reference. Where it falls short is depth and tailoring. The severity 'WARNING' is asserted rather than argued — nothing explains why this particular unsanitized stored-procedure call warrants that level, what an attacker could do with it (data disclosure via printResults, data modification, authentication bypass), or how confident the tool is in the taint path. The location is accurate but slightly misleading as a starting point for a fix: the real defect is on line 52, where user-controlled `bar` is concatenated into `""{call "" + bar + ""}""`, and the output never mentions `bar`, `param`, or `getParameterMap()`, so the developer has to reconstruct the data flow themselves. Actionability is the weakest part: 'use parameterized SQL queries or properly sanitize user input' is generic boilerplate that does not acknowledge that this is a `CallableStatement` whose procedure name is being built dynamically — a case where simple parameter binding will not help and an allowlist of permitted procedure names is the real remedy. The cheat-sheet link is useful background but shifts the work of choosing and applying a fix onto the reader. Nothing is outright missing from the five expected elements; the gaps are in explanation quality rather than coverage.",2026-08-21T18:21:59.452853+00:00
OUT003,EX001,java,sqli,semgrep,chatgpt,gpt-5.5-2026-04-23,1,5,"The output is easy to understand because the message states the data flow and risk in plain language: ""input from a HTTPServletRequest going into a SQL sink"" and ""could lead to SQL injection.""",4,"The output gives the severity label ""Severity: WARNING"" and gives a contextual reason, ""input from a HTTPServletRequest going into a SQL sink,"" but it does not explain concrete exploit impact beyond ""could lead to SQL injection.""",4,"The output identifies the exact reported location with ""Location: line 57, column 13,"" but it does not quote the code or identify the exact expression such as `prepareCall(sql)` or the tainted `sql` value.",2,"The output gives general remediation advice, ""Use parameterized SQL queries or properly sanitize user input,"" plus an OWASP link, but it does not explain exactly how to change this specific SQL construction or call.",5,"The output includes all expected parts: a severity label ""WARNING,"" an issue description in the ""Message,"" a code ""Location,"" an explanation that HTTP request input reaches a SQL sink, and remediation guidance plus a link.","The warning is clear and concise: it says that input from an HTTP request is reaching a SQL statement and that this could cause SQL injection. It is also fairly specific because it gives a line and column, although it would be more helpful if it named the relevant code element, such as the `prepareCall(sql)` call and the earlier string concatenation used to build `sql`. The severity is labeled as WARNING and partly justified by the SQL injection risk, but the output does not explain what an attacker could do if the issue were exploited, such as modifying queries or accessing data. The main weakness is actionability: the advice to use parameterized queries or sanitize input is useful but generic, and it does not show how to rewrite this particular callable statement or what input should be validated. Overall, the output contains the major expected pieces, but the fix guidance could be much more concrete.",2026-08-21T18:22:16.552847+00:00
OUT003,EX001,java,sqli,semgrep,gemini,gemini-3.1-pro-preview,1,5,"The output is easy to understand, clearly stating that ""input from a HTTPServletRequest going into a SQL sink"" could ""lead to SQL injection"".",3,"The output includes a ""WARNING"" label and broadly explains the danger by stating ""This could lead to SQL injection"", but does not relate this directly to the specific variables or logic in the code snippet.",5,"The output identifies the exact code line and the specific part of the line by providing ""Location: line 57, column 13"".",2,"The output only suggests a broad fix applicable to similar issues, advising to ""Use parameterized SQL queries or properly sanitize user input instead"" without specifying what to change in the snippet itself.",5,"The output includes all five expected parts: a severity (""WARNING""), description (""Detected input...""), location (""line 57, column 13""), explanation (""This could lead to SQL injection...""), and remediation guidance (""Use parameterized SQL queries..."" and a URL).","The output is generally clear and easy to read, with a straightforward message explaining what was found. However, the severity justification is generic; it explains that SQL injection could occur broadly but doesn't mention the exact variables or mechanics in the provided snippet. The specificity is excellent, pinpointing the exact line and column of the SQL sink. Actionability is weak because the suggested fixes are broad and rely entirely on an external cheat sheet rather than showing how to apply parameterization to the specific `CallableStatement` in the code. All expected elements (severity, description, location, explanation, guidance) are present, making the warning complete.",2026-08-21T18:22:31.898523+00:00
OUT004,EX002,java,sqli,bearer,claude,claude-opus-5,1,4,"The message ""Unsanitized external input in SQL query"" and the structured Description/Remediations/References sections read clearly, though the boilerplate phrasing (""externally influenced data passed to a function"") and the unlabelled bad/good code examples take a moment to parse.",3,"It states ""Severity: critical"" and explains the class of risk generically (""allowing attackers to manipulate queries and access or modify data"") without tying that to `getSqlInt` or the caller-supplied `query` string in this snippet.",4,"It gives ""Location: line 94"", the exact line `ResultSet results = statement.executeQuery(query);`, but does not single out the `query` parameter or trace where the tainted value enters.",3,"It says ""**Do** use prepared statements for SQL queries to safely include external input"" with a generic `prepareStatement`/`setInt`/`setString` example, but offers no guidance for this specific case where a pre-built query String is passed into a helper method.",5,"All five parts are present: severity (""critical""), description (""Unsanitized external input in SQL query""), location (""line 94""), why it is vulnerable (""directly included in SQL statements without proper sanitation""), and remediation plus references.","The output is well organised and easy to read: a short message states the problem, and the guidance splits cleanly into a description, do/don't remediations with code, and references. Pointing to line 94 is useful because that is where the query is actually executed, but the finding stops there — it never mentions that the offending value is the `query` parameter handed to `getSqlInt`, nor does it show where that string was built (e.g. by the callers such as `getMaxSalary`). A developer looking at line 94 alone sees a bare variable and has to reconstruct the taint path themselves.

The severity of 'critical' is plausible for SQL injection, but the justification is entirely boilerplate about the vulnerability class; nothing in it refers to this application, this table, or what an attacker could actually reach here. Because the snippet shows a private helper querying an employees table, a reader cannot tell from the output whether the risk is real or whether the parameter is always a hard-coded literal.

Remediation advice is sound in principle — use prepared statements with bound parameters — and the paired bad/good examples help. However, the examples use an unrelated `uri.getQueryParameter` scenario, and applying them here would require refactoring `getSqlInt` to accept parameters rather than a full query string, which the output never mentions. All five expected elements are present, so completeness is strong; the weakness is that the explanation and fix are generic rather than fitted to the reported code.",2026-08-21T18:22:52.183689+00:00
