output_id,example_id,language,vuln_type,tool,rule_id,severity,line,column,message,rule_description,reference_url
OUT001,EX001,java,sqli,bearer,java_lang_sqli,critical,57,,Unsanitized external input in SQL query,"Description
Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks. This vulnerability arises when externally controlled data is directly included in SQL statements without proper sanitation, allowing attackers to manipulate queries and access or modify data.
Remediations
- **Do not** include unsanitized input in SQL queries. This practice can lead to SQL injection vulnerabilities.
  java
  Statement stmt = conn.createStatement();
  ResultSet rs = stmt.executeQuery(""select name from users where id='"" + uri.getQueryParameter(""user_id"") + ""'""));
  
- **Do** use prepared statements for SQL queries to safely include external input.
  java
  PreparedStatement myStmt = myCon.prepareStatement(""select * from students where age > ? and name = ?"");
  myStmt.setInt(1, uri.getQueryParameter(""age""));
  myStmt.setString(2, uri.getQueryParameter(""name""));
  
References
- OWASP SQL injection explained
- OWASP SQL injection prevention cheat sheet",https://docs.bearer.com/reference/rules/java_lang_sqli
OUT002,EX001,java,sqli,codeql,java/sql-injection,error,57,75,This query depends on a [user-provided value](1).,Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.,
OUT003,EX001,java,sqli,semgrep,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,WARNING,57,13,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html
OUT004,EX002,java,sqli,bearer,java_lang_sqli,critical,94,,Unsanitized external input in SQL query,"Description
Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks. This vulnerability arises when externally controlled data is directly included in SQL statements without proper sanitation, allowing attackers to manipulate queries and access or modify data.
Remediations
- **Do not** include unsanitized input in SQL queries. This practice can lead to SQL injection vulnerabilities.
  java
  Statement stmt = conn.createStatement();
  ResultSet rs = stmt.executeQuery(""select name from users where id='"" + uri.getQueryParameter(""user_id"") + ""'""));
  
- **Do** use prepared statements for SQL queries to safely include external input.
  java
  PreparedStatement myStmt = myCon.prepareStatement(""select * from students where age > ? and name = ?"");
  myStmt.setInt(1, uri.getQueryParameter(""age""));
  myStmt.setString(2, uri.getQueryParameter(""name""));
  
References
- OWASP SQL injection explained
- OWASP SQL injection prevention cheat sheet",https://docs.bearer.com/reference/rules/java_lang_sqli
OUT005,EX002,java,sqli,semgrep,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,WARNING,94,25,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,,https://owasp.org/Top10/A03_2021-Injection
OUT006,EX003,java,sqli,semgrep,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,WARNING,48,13,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html
OUT007,EX004,java,sqli,bearer,java_spring_sqli,critical,52,,Unsanitized external input in SQL query,"Description
Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks. This vulnerability arises when externally controlled data is directly included in SQL statements without proper sanitation, allowing attackers to manipulate queries and access or modify data.
Remediations
- **Do not** concatenate external input directly into SQL queries. This practice can lead to SQL injection vulnerabilities.
  java
  String query = ""update user set name='""+uri.getQueryParameter(""name"")+""' where id='""+uri.getQueryParameter(""userId"")+""'"";
  return jdbcTemplate.update(query);
  
- **Do** use PreparedStatement with parameterized SQL queries to safely include external input. This method ensures that input is treated as data, not executable code.
  java
  new PreparedStatementCreator() {
    public PreparedStatement createPreparedStatement(Connection conn) throws SQLException {
      String updateString = ""update user set name = ? where id = ?"";
      return conn.prepareStatement(updateString);
    }
  }
  new PreparedStatementSetter() {
    public void setValues(PreparedStatement preparedStatement) throws SQLException {
      preparedStatement.setString(1, uri.getQueryParameter(""name""));
      preparedStatement.setInt(2, uri.getQueryParameter(""userId""));
    }
  }
  
References
- JDBC Template class
- OWASP SQL injection explained
- OWASP SQL injection prevention cheat sheet",https://docs.bearer.com/reference/rules/java_spring_sqli
OUT008,EX005,java,sqli,bearer,java_lang_sqli,critical,65,,Unsanitized external input in SQL query,"Description
Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks. This vulnerability arises when externally controlled data is directly included in SQL statements without proper sanitation, allowing attackers to manipulate queries and access or modify data.
Remediations
- **Do not** include unsanitized input in SQL queries. This practice can lead to SQL injection vulnerabilities.
  java
  Statement stmt = conn.createStatement();
  ResultSet rs = stmt.executeQuery(""select name from users where id='"" + uri.getQueryParameter(""user_id"") + ""'""));
  
- **Do** use prepared statements for SQL queries to safely include external input.
  java
  PreparedStatement myStmt = myCon.prepareStatement(""select * from students where age > ? and name = ?"");
  myStmt.setInt(1, uri.getQueryParameter(""age""));
  myStmt.setString(2, uri.getQueryParameter(""name""));
  
References
- OWASP SQL injection explained
- OWASP SQL injection prevention cheat sheet",https://docs.bearer.com/reference/rules/java_lang_sqli
OUT009,EX005,java,sqli,codeql,java/sql-injection,error,65,25,"This query depends on a [user-provided value](1).
This query depends on a [user-provided value](2).",Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.,
OUT010,EX005,java,sqli,semgrep,java.lang.security.audit.formatted-sql-string.formatted-sql-string,ERROR,65,7,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html
